주민등록번호,이름,세대주관계,세대원1,세대원1관계,세대원2,세대원2관계,세대원3,세대원3관계
880724-1529975,김서진,본인,,,,,,
840126-1671295,한태현,본인,,,,,,
531001-4979158,송도민,본인,박예우,배우자,최지혁,자녀,,
731220-3957646,임서우,본인,이현영,배우자,장준윤,자녀,이서우,자녀
541104-8960736,박서진,본인,오윤윤,배우자,장윤수,자녀,,
980225-8643105,강영영,본인,정하수,배우자,,,,
750403-6658300,윤태아,본인,조도빈,배우자,,,,
630102-0728899,윤예빈,본인,최준혁,배우자,정도영,자녀,오윤연,자녀
640517-1333715,윤도민,본인,김윤영,배우자,,,,
771024-5133653,김민현,본인,박윤혁,배우자,오정수,자녀,,
680211-4320974,이도연,본인,,,,,,
580915-4585900,박준현,본인,박하율,배우자,이지연,자녀,정준혁,자녀
920118-1103966,최도민,본인,,,,,,
710101-2098372,최서빈,본인,박하호,배우자,임현빈,자녀,김도호,자녀
910808-1338642,김현연,본인,,,,,,
870215-2113218,박도민,본인,정민혁,배우자,,,,
550502-5359278,박민빈,본인,정예윤,배우자,,,,
940617-2742028,박서현,본인,박정연,배우자,최지혁,자녀,김예혁,자녀
921115-9970820,윤지윤,본인,,,,,,
661224-9908962,한예아,본인,,,,,,
540214-5378219,윤예진,본인,,,,,,
950916-1964954,정도수,본인,조하혁,배우자,윤서윤,자녀,정민영,자녀
820801-8205510,박지연,본인,이현율,배우자,오준혁,자녀,윤하우,자녀
500709-1067657,정민우,본인,오지혁,배우자,최하율,자녀,임도수,자녀
630116-4212759,박민수,본인,,,,,,
700901-5200750,한영영,본인,김민수,배우자,임도혁,자녀,,
540314-8366121,강준우,본인,,,,,,
851111-5767873,임민우,본인,,,,,,
940101-5641673,김서우,본인,이정연,배우자,이예윤,자녀,박준윤,자녀
730920-1100111,임민수,본인,,,,,,
880907-6615745,윤예수,본인,오지율,배우자,박윤호,자녀,윤준우,자녀
570518-1068338,임예영,본인,,,,,,
700120-2072197,윤준수,본인,최도진,배우자,,,,
600424-8846619,송영영,본인,정현우,배우자,조서혁,자녀,,
